"","성별","연도","교육","직종","지역","월급","나이","연령대"
"411","남",1957,5,NA,2,NA,64,"노년"
"412","여",1958,5,NA,2,NA,63,"노년"
"413","남",1983,6,NA,2,NA,38,"중년"
"414","여",1979,6,NA,2,NA,42,"중년"
"415","남",1975,7,133,2,410,46,"중년"
"416","여",2009,3,NA,2,NA,12,"초년"
"417","남",2012,3,NA,2,NA,9,"초년"
"418","남",1962,5,891,1,213,59,"노년"
"419","여",1964,5,NA,1,NA,57,"노년"
"420","남",1990,7,222,1,199,31,"중년"
"421","남",1994,6,874,1,189,27,"초년"
"422","남",1952,5,992,1,156,69,"노년"
"423","여",1957,5,NA,1,NA,64,"노년"
"424","남",1981,6,246,1,631,40,"중년"
"425","여",1986,7,246,1,NA,35,"중년"
"426","남",2015,1,NA,1,NA,6,"초년"
"427","남",2019,1,NA,1,NA,2,"초년"
"428","여",1984,7,320,7,375,37,"중년"
"429","남",1982,7,312,7,830,39,"중년"
"430","여",2017,1,NA,7,NA,4,"초년"
"431","남",1929,3,NA,1,NA,92,"노년"
"432","남",1936,5,NA,1,NA,85,"노년"
"433","여",1936,2,NA,1,NA,85,"노년"
"434","남",1960,5,NA,1,NA,61,"노년"
"435","남",1966,6,823,1,NA,55,"노년"
"436","여",1966,5,823,1,NA,55,"노년"
"437","여",2004,4,NA,1,NA,17,"초년"
"438","여",2004,4,NA,1,NA,17,"초년"
"439","남",1938,7,NA,1,NA,83,"노년"
"440","여",1939,5,NA,1,NA,82,"노년"
"441","남",1960,5,875,1,509,61,"노년"
"442","여",1962,5,NA,1,NA,59,"노년"
"443","남",1961,6,159,1,NA,60,"노년"
"444","여",1968,6,259,1,295,53,"노년"
"445","여",1999,6,521,1,80,22,"초년"
"446","남",1964,8,248,5,595,57,"노년"
"447","여",1975,5,NA,5,NA,46,"중년"
"448","여",1997,7,NA,5,NA,24,"초년"
"449","여",2008,3,NA,5,NA,13,"초년"
"450","여",2011,3,NA,5,NA,10,"초년"
"451","여",1942,4,NA,1,NA,79,"노년"
"452","남",1974,5,783,2,417,47,"중년"
"453","여",1981,6,NA,2,NA,40,"중년"
"454","여",2007,3,NA,2,NA,14,"초년"
"455","남",1940,7,NA,1,NA,81,"노년"
"456","여",1943,5,NA,1,NA,78,"노년"
"457","남",2000,7,NA,1,NA,21,"초년"
"458","남",1968,7,521,1,NA,53,"노년"
"459","남",1955,5,873,1,NA,66,"노년"
"460","여",1961,5,951,1,NA,60,"노년"
"461","남",1993,7,NA,1,NA,28,"초년"
"462","남",1961,4,892,1,413,60,"노년"
"463","여",1961,4,NA,1,NA,60,"노년"
"464","남",1938,7,NA,1,NA,83,"노년"
"465","여",1943,5,NA,1,NA,78,"노년"
"466","남",1979,8,312,2,465,42,"중년"
"467","여",1983,8,NA,2,NA,38,"중년"
"468","남",2010,3,NA,2,NA,11,"초년"
"469","남",1945,8,NA,2,NA,76,"노년"
"470","여",1953,5,NA,2,NA,68,"노년"
"471","여",1946,3,NA,1,NA,75,"노년"
"472","여",1947,5,NA,1,NA,74,"노년"
"473","남",2001,5,NA,1,NA,20,"초년"
"474","여",1935,5,NA,1,NA,86,"노년"
"475","여",1950,7,NA,1,NA,71,"노년"
"476","남",1978,7,320,1,620,43,"중년"
"477","여",1979,6,313,1,275,42,"중년"
"478","남",1981,5,922,1,310,40,"중년"
"479","여",1927,3,NA,2,NA,94,"노년"
"480","여",1960,5,422,2,NA,61,"노년"
"481","남",1953,5,864,2,160,68,"노년"
"482","여",1986,7,399,2,230,35,"중년"
"483","남",1973,7,531,1,NA,48,"중년"
"484","남",1970,5,873,1,NA,51,"노년"
"485","여",1969,5,313,1,379,52,"노년"
"486","남",1999,6,NA,1,NA,22,"초년"
"487","여",1943,4,NA,1,NA,78,"노년"
"488","남",1979,7,521,1,NA,42,"중년"
"489","여",1983,7,521,1,NA,38,"중년"
"490","남",2017,1,NA,1,NA,4,"초년"
"491","남",1947,5,611,4,NA,74,"노년"
"492","여",1948,4,NA,4,NA,73,"노년"
"493","여",1980,6,285,1,350,41,"중년"
"494","남",1937,4,NA,1,NA,84,"노년"
"495","여",1937,4,NA,1,NA,84,"노년"
"496","남",1937,5,NA,1,NA,84,"노년"
"497","여",1943,4,NA,1,NA,78,"노년"
"498","남",1936,8,NA,1,NA,85,"노년"
"499","여",1939,7,NA,1,NA,82,"노년"
"500","남",1969,4,799,1,393,52,"노년"
"501","여",1971,5,NA,1,NA,50,"중년"
"502","여",2000,5,313,1,191,21,"초년"
"503","여",2002,5,NA,1,NA,19,"초년"
"504","여",1972,7,313,2,216,49,"중년"
"505","남",1979,5,221,2,283,42,"중년"
"506","여",2010,3,NA,2,NA,11,"초년"
"507","남",2012,3,NA,2,NA,9,"초년"
"508","여",1956,5,441,1,218,65,"노년"
"509","남",1945,5,141,1,NA,76,"노년"
"510","여",1948,3,NA,1,NA,73,"노년"
"511","여",1954,3,521,2,100,67,"노년"
"512","남",1974,5,521,1,700,47,"중년"
"513","여",1974,6,442,1,NA,47,"중년"
"514","여",2005,4,NA,1,NA,16,"초년"
"515","남",1950,7,NA,1,NA,71,"노년"
"516","여",1953,5,NA,1,NA,68,"노년"
"517","여",1958,3,930,1,144,63,"노년"
"518","남",1984,5,910,1,NA,37,"중년"
"519","남",1950,4,259,6,30,71,"노년"
"520","남",1977,7,139,2,1117,44,"중년"
"521","여",1979,7,NA,2,NA,42,"중년"
"522","남",2010,3,NA,2,NA,11,"초년"
"523","남",2014,1,NA,2,NA,7,"초년"
"524","여",2015,1,NA,2,NA,6,"초년"
"525","여",1979,7,313,1,430,42,"중년"
"526","남",1980,7,313,1,522,41,"중년"
"527","여",2014,1,NA,1,NA,7,"초년"
"528","여",2014,1,NA,1,NA,7,"초년"
"529","남",2016,1,NA,1,NA,5,"초년"
"530","여",1969,7,510,2,150,52,"노년"
"531","남",1970,6,312,2,670,51,"노년"
"532","여",1946,3,NA,1,NA,75,"노년"
"533","여",1943,3,941,7,27,78,"노년"
"534","남",1917,2,NA,7,NA,104,"노년"
"535","남",1932,3,NA,1,NA,89,"노년"
"536","여",1938,3,NA,1,NA,83,"노년"
"537","남",1969,8,NA,1,NA,52,"노년"
"538","여",1930,2,NA,1,NA,91,"노년"
"539","여",1953,5,NA,6,NA,68,"노년"
"540","여",1983,6,942,6,160,38,"중년"
"541","여",2013,1,NA,6,NA,8,"초년"
"542","남",1978,6,312,6,425,43,"중년"
"543","남",2010,3,NA,6,NA,11,"초년"
"544","남",1969,7,311,2,536,52,"노년"
"545","여",1973,7,252,2,569,48,"중년"
"546","여",2000,7,NA,2,NA,21,"초년"
"547","남",2003,5,NA,2,NA,18,"초년"
"548","여",1943,3,941,1,110,78,"노년"
"549","남",1969,7,411,1,666,52,"노년"
"550","여",1972,7,259,1,180,49,"중년"
"551","여",2000,6,NA,1,NA,21,"초년"
"552","여",2002,5,NA,1,NA,19,"초년"
"553","남",1975,6,852,1,NA,46,"중년"
"554","여",1976,5,NA,1,NA,45,"중년"
"555","남",2004,4,NA,1,NA,17,"초년"
"556","남",2009,3,NA,1,NA,12,"초년"
"557","남",1969,6,NA,1,NA,52,"노년"
"558","남",1956,7,314,1,250,65,"노년"
"559","여",1958,6,NA,1,NA,63,"노년"
"560","여",1963,7,532,3,132,58,"노년"
"561","남",1948,5,NA,1,NA,73,"노년"
"562","여",1954,3,NA,1,NA,67,"노년"
"563","여",1979,7,NA,1,NA,42,"중년"
"564","남",1979,6,873,1,434,42,"중년"
"565","여",2011,3,NA,1,NA,10,"초년"
"566","남",2013,1,NA,1,NA,8,"초년"
"567","남",1957,5,783,1,300,64,"노년"
"568","여",1955,5,NA,1,NA,66,"노년"
"569","남",1968,7,223,1,500,53,"노년"
"570","여",1971,7,311,1,200,50,"중년"
"571","남",1958,5,783,1,NA,63,"노년"
"572","여",1990,8,241,1,500,31,"중년"
"573","남",1993,7,NA,1,NA,28,"초년"
"574","여",1962,6,391,1,232,59,"노년"
"575","여",1986,7,254,1,250,35,"중년"
